signal,width,category,events,bit_toggles,design
clk,1,clock,823,823,baseline
a,8,inputs,49,204,baseline
b,8,inputs,50,209,baseline
c,16,inputs,50,417,baseline
rst,1,inputs,1,1,baseline
valid,1,inputs,100,100,baseline
a_r,8,internal,50,204,baseline
b_r,8,internal,51,209,baseline
c_d,16,internal,51,417,baseline
c_r,16,internal,51,417,baseline
prod,16,internal,50,378,baseline
v,3,internal,201,300,baseline
out_valid,1,outputs,101,100,baseline
y,17,outputs,51,403,baseline
clk,1,clock,823,823,optimized
a,8,inputs,49,204,optimized
b,8,inputs,50,209,optimized
c,16,inputs,50,417,optimized
rst,1,inputs,1,1,optimized
valid,1,inputs,100,100,optimized
a_r,8,internal,50,204,optimized
b_r,8,internal,51,209,optimized
c_d,16,internal,51,417,optimized
c_r,16,internal,51,417,optimized
prod,16,internal,50,378,optimized
v,3,internal,201,300,optimized
out_valid,1,outputs,101,100,optimized
y,17,outputs,51,403,optimized
