signal,width,category,events,bit_toggles,design
clk,1,clock,823,823,baseline
a,8,inputs,199,820,baseline
b,8,inputs,198,778,baseline
c,16,inputs,200,1596,baseline
rst,1,inputs,1,1,baseline
valid,1,inputs,400,400,baseline
a_r,8,internal,200,820,baseline
b_r,8,internal,199,778,baseline
c_d,16,internal,201,1596,baseline
c_r,16,internal,201,1596,baseline
prod,16,internal,200,1480,baseline
v,3,internal,403,1200,baseline
out_valid,1,outputs,401,400,baseline
y,17,outputs,201,1649,baseline
clk,1,clock,823,823,optimized
a,8,inputs,199,820,optimized
b,8,inputs,198,778,optimized
c,16,inputs,200,1596,optimized
rst,1,inputs,1,1,optimized
valid,1,inputs,400,400,optimized
a_r,8,internal,200,820,optimized
b_r,8,internal,199,778,optimized
c_d,16,internal,201,1596,optimized
c_r,16,internal,201,1596,optimized
prod,16,internal,200,1480,optimized
v,3,internal,403,1200,optimized
out_valid,1,outputs,401,400,optimized
y,17,outputs,201,1649,optimized
