signal,width,category,events,bit_toggles,design
clk,1,clock,823,823,baseline
a,8,inputs,99,419,baseline
b,8,inputs,99,408,baseline
c,16,inputs,100,805,baseline
rst,1,inputs,1,1,baseline
valid,1,inputs,200,200,baseline
a_r,8,internal,100,419,baseline
b_r,8,internal,100,408,baseline
c_d,16,internal,101,805,baseline
c_r,16,internal,101,805,baseline
prod,16,internal,100,732,baseline
v,3,internal,401,600,baseline
out_valid,1,outputs,201,200,baseline
y,17,outputs,101,814,baseline
clk,1,clock,823,823,optimized
a,8,inputs,99,419,optimized
b,8,inputs,99,408,optimized
c,16,inputs,100,805,optimized
rst,1,inputs,1,1,optimized
valid,1,inputs,200,200,optimized
a_r,8,internal,100,419,optimized
b_r,8,internal,100,408,optimized
c_d,16,internal,101,805,optimized
c_r,16,internal,101,805,optimized
prod,16,internal,100,732,optimized
v,3,internal,401,600,optimized
out_valid,1,outputs,201,200,optimized
y,17,outputs,101,814,optimized
