prompt_len,out_len,batch,avg_power_w,decode_bytes_per_step_mb,decode_est_gbps,decode_gpu_util_pct,decode_pct_peak_bw,decode_sm_clock_mhz,decode_tok_s,e2e_ms,energy_j_per_out_token,itl_p50_ms,itl_p95_ms,itl_p99_ms,kv_share_of_step_bytes,output_tokens_total,peak_mem_gb,prefill_ms,prefill_tflops,prefill_tok_s,prompt_tokens_total,tpot_ms,ttft_ms
128,32,1,68.98769910956818,2203.3408,101.89393758690406,30.7,6.5526647965854705,1095.0,46.245200736492535,696.0201700003381,1.510125,21.55157000015606,22.125157499431225,23.123260099600884,0.0014723242087651967,32.0,2.222317568,25.680340000690194,10.966069230252842,4984.357683603871,128.0,21.62386548385961,25.680340000690194
128,32,2,68.8991085056428,2206.584832,93.02827373227095,31.2,5.982525641946685,1095.0,84.31878292932174,761.1621029991511,0.842,23.612183998920955,24.3931884997437,25.272936400506296,0.0029403193142224504,64.0,2.234313728,25.85737200024596,21.781980496805417,9900.464749378432,256.0,23.719507451577584,25.85737200024596
128,32,4,70.97840510671872,2213.072896,92.48245139971398,31.9,5.947424527312796,1095.0,167.1566292585673,768.9000469999883,0.428703125,23.86449300138338,24.359983499380178,24.550175800504803,0.005863398364985395,128.0,2.257912832,27.044739999837475,41.65133572083774,18931.59261294717,512.0,23.92965219352787,27.044739999837475
128,32,8,72.54121214955963,2226.049024,92.79236993126536,33.2,5.967354979502595,1095.0,333.4782619100678,774.1370029998507,0.221234375,23.721710000245366,24.54435699928581,24.980054900515825,0.011658438659794768,256.0,2.303538176,28.978989999814075,77.7424986325077,35335.9451108051,1024.0,23.989569677430534,28.978989999814075
128,32,16,94.67029649064116,2252.00128,97.53148850980867,35.0,6.27212144757612,1344.0,692.9409099434165,749.2639280008007,0.140384765625,22.944209000343108,23.299737000343157,23.810763000437873,0.023048171624485025,512.0,2.40505088,36.516027999823564,123.392341053243,56084.96082897887,2048.0,23.089991903215115,36.516027999823564
128,32,32,112.01700551436524,2303.905792,100.73912108550611,36.6,6.478400069807468,1410.0,1399.2116717314957,774.2995819990028,0.085060546875,22.74002299964195,23.09685150066798,23.368189000393613,0.04505784236511001,1024.0,2.582008832,65.32893799885642,137.94187748598864,62698.09559848808,4096.0,22.87002077419827,65.32893799885642
128,128,1,68.86768515573142,2204.422144,102.1367423712906,30.8,6.568279252173029,1095.0,46.33266030704987,2765.913138000542,1.5113984375,21.505613000044832,22.0026899009099,24.379699380515365,0.00196213597825301,128.0,2.222317568,25.041402001079405,11.245871388984575,5111.534889080195,128.0,21.58304732283724,25.041402001079405
128,128,2,67.20341539299463,2208.74752,92.93651784991,30.9,5.976624942116398,1095.0,84.1531383812578,3044.7067899985996,0.78975390625,23.71629600020242,24.11237769993022,25.294241759875142,0.003916587080084244,256.0,2.234313728,25.971410001147888,21.686337883969586,9856.992746588856,256.0,23.766196228344477,25.971410001147888
128,128,4,67.48272946162437,2217.398272,93.78806748262521,31.9,6.031386976374612,1095.0,169.18578618361113,3028.748776001521,0.39799609375,23.67281099941465,23.980154300625145,24.226917160012817,0.007802614540866726,512.0,2.257912832,26.132472001336282,43.105357394371225,19592.482485920922,512.0,23.64264806299358,26.132472001336282
128,128,8,68.14410066862311,2234.699776,94.05538126805922,32.4,6.048577573508632,1095.0,336.7087866681174,3046.3134179990448,0.2022890625,23.54519799882837,24.863312900015444,27.844476379686967,0.015484410197569187,1024.0,2.303538176,28.814518998842686,78.18624668079609,35537.63989748113,1024.0,23.759403724398,28.814518998842686
128,128,16,77.92643800110562,2269.302784,98.24788441842774,32.9,6.318191924014646,1216.0,692.7088627300799,2973.244791999605,0.11239013671875,23.021125998639036,23.554117099774885,23.933558540666123,0.030496598553505283,2048.0,2.40505088,39.83350000089558,113.11579903254032,51414.01081888246,2048.0,23.097726708651255,39.83350000089558
