policy,arrival_rate_rps,throughput_out_tok_s,goodput_req_s,ttft_ms_p50,ttft_ms_p99,tpot_ms_p50,tpot_ms_p99,energy_j_per_out_token
perfwattlab_http,0.5,37.21324479730685,0.4826033773105651,35.04567795782165,454.3955717307548,28.60983591375017,31.780315953745216,1.976147112462006
vllm_server,0.5,37.730975141895165,0.4893176107560872,18.49528692952873,57.29185502403518,2.546531176782561,2.903138931129302,2.3289957446808507
continuous,1.0,76.82699099458641,0.9751968587267612,34.69871953855064,63.308221652838135,29.691677714455853,31.047111459418527,1.0147113985863654
perfwattlab_http,1.0,72.65714118980232,0.9422607975982468,39.795332345951785,70.64239451362351,29.46117502828583,31.40800491634136,1.0645758865248227
serialized,1.0,46.29430401369015,0.0398365732221355,18265.86870450684,43297.76982732263,21.350563330972815,21.88132606556002,1.7388960398106077
static,1.0,74.68197478121525,0.7479969327316667,1134.8782303237222,3075.9300319154668,26.49934792417425,27.00491807674516,1.061170152213496
vllm_server,1.0,75.36334168221515,0.9773564068210272,17.99965930787728,25.44186837792072,2.5207873728286483,2.854239809250283,1.4113574468085106
perfwattlab_http,2.0,138.21578185502273,1.7924640402677718,41.51667725458808,72.2480347998224,30.89879825732904,33.22026752545188,0.5877890577507598
vllm_server,2.0,150.33294048985368,1.9496065230700377,17.034404861728802,27.277171859368693,2.5212258676252395,2.6916324251243657,0.880461600810537
continuous,4.0,265.181467628559,3.364717135674008,40.549384752597724,70.57787698966534,32.94623064614833,35.43407215521347,0.334955918193474
perfwattlab_http,4.0,250.95937002237076,3.254589601100654,42.48600360265353,79.31488391367995,32.58368459993629,35.63837397441213,0.3511864235055724
serialized,4.0,46.14842057610412,0.0242984100829649,43904.60781156566,90811.85480180556,21.625588986736474,22.282281183348648,1.7477278018532092
static,4.0,177.94615165493713,0.4111515401123071,4361.813471580844,9940.594345496049,26.58213848017711,27.22545043713998,0.5156287323773956
vllm_server,4.0,299.086456618022,3.8787301364849855,17.19858396091034,24.973499479188,2.544074280875908,2.733434132107473,0.555977304964539
perfwattlab_http,8.0,423.2120678308304,5.488464506823331,47.147178229323934,78.6935234308004,36.82360988268833,39.47356046044321,0.2638559270516717
vllm_server,8.0,586.9379727927037,7.611758917676402,16.73572752270708,25.13535966830048,2.6291072328783547,2.931845344233311,0.3361357649442755
continuous,16.0,649.7186599675198,8.242968900716901,48.08484884347556,86.63167822611871,40.76980372552573,48.05846996156515,0.2078338436562556
perfwattlab_http,16.0,626.4906693278933,8.124701689358698,48.11440655926496,89.07210060916876,41.61301533769965,49.52621417916103,0.2121661600810536
serialized,16.0,45.96914840147297,0.0212523286741746,50795.630384099815,102952.96659901744,21.621457757492752,22.6272587552266,1.7600439368868503
static,16.0,188.11618513757003,0.2760294612473397,9512.39632003044,20050.829661815496,26.953397818773528,27.677993476813068,0.4881755610746268
vllm_server,16.0,1132.022437190331,14.68073677409953,17.8443231453993,27.84008693861192,2.7573759514751828,3.1122032141835607,0.1889523809523809
